Unnamed: 0,hhid,intmonth,stfips,weight,earnwke,uhours,grade92,race,ethnic,age,sex,marital,ownchild,chldpres,prcitshp,state,ind02,occ2012,class,unionmme,unioncov,lfsr94,sample,female,earnph,agesq
15,199270459680970,January,AL,3633.3439,900.0,39,44,2,,36,2,7,3,13,"Native, Born In US",63,"Colleges and universities, including junior colleges (6112, 6113)",2200,"Private, For Profit",No,No,Employed-At Work,1.0,1,23.076923076923077,1296
43,954001919079770,January,AL,2847.5801,826.92,40,44,1,,31,2,7,0,0,"Native, Born In US",63,Elementary and secondary schools (6111),2310,"Private, For Profit",No,No,Employed-At Work,1.0,1,20.673,961
199,678011962039080,January,AL,2424.1925,1000.0,56,44,2,,57,2,7,0,0,"Native, Born In US",63,Elementary and secondary schools (6111),2310,"Private, For Profit",Yes,,Employed-At Work,1.0,1,17.857142857142858,3249
319,299420555520970,January,AK,376.1969,1107.69,40,44,1,,37,2,1,2,3,"Native, Born In US",94,Elementary and secondary schools (6111),2320,Government - Local,Yes,,Employed-At Work,1.0,1,27.69225,1369
401,20902093001906,January,AK,429.0975,1000.0,40,44,1,,25,2,7,0,0,"Native, Born In US",94,Elementary and secondary schools (6111),2310,Government - State,Yes,,Employed-At Work,1.0,1,25.0,625
778,140328063906491,January,AZ,4326.3262,600.0,50,44,1,,40,1,1,3,3,"Native, Born In US",86,Elementary and secondary schools (6111),2320,"Private, For Profit",No,No,Employed-At Work,1.0,0,12.0,1600
784,140603073808694,January,AZ,4664.7207,1057.69,40,44,1,,54,2,1,0,0,"Native, Born In US",86,Elementary and secondary schools (6111),2310,Government - Local,No,No,Employed-At Work,1.0,1,26.44225,2916
800,403902310698614,January,AZ,4158.2245,1557.5,50,46,4,,44,2,7,2,8,"Foreign Born, US Cit By Naturalization",86,"Colleges and universities, including junior colleges (6112, 6113)",2200,"Private, For Profit",No,No,Employed-At Work,1.0,1,31.15,1936
1097,985989670786005,January,AR,1876.4358,1288.46,40,44,1,,61,1,1,0,0,"Native, Born In US",71,Elementary and secondary schools (6111),2310,Government - State,No,No,Employed-At Work,1.0,0,32.2115,3721
1367,74770360994195,January,CA,2937.0417,1307.69,40,44,1,,43,2,1,2,3,"Native, Born In US",93,Elementary and secondary schools (6111),2310,"Private, Nonprofit",No,No,Employed-At Work,1.0,1,32.69225,1849
1371,79810760974975,January,CA,5228.215,1136.36,40,44,4,,29,1,7,0,0,"Native, Born In US",93,Elementary and secondary schools (6111),2330,Government - Local,Yes,,Employed-At Work,1.0,0,28.409,841
1383,89810360992998,January,CA,2937.0417,2884.61,40,46,1,,40,2,1,2,6,"Foreign Born, US Cit By Naturalization",93,"Colleges and universities, including junior colleges (6112, 6113)",2200,Government - State,Yes,,Employed-At Work,1.0,1,72.11525,1600
1390,90943004066636,January,CA,2993.0883,342.0,24,44,1,,64,2,1,0,0,"Native, Born In US",93,"Colleges and universities, including junior colleges (6112, 6113)",2200,Government - Local,Yes,,Employed-At Work,1.0,1,14.25,4096
1414,92943200013678,January,CA,3322.9475,1788.0,50,44,1,,27,2,7,0,0,"Foreign Born, US Cit By Naturalization",93,"Colleges and universities, including junior colleges (6112, 6113)",2200,Government - State,No,No,Employed-At Work,1.0,1,35.76,729
